,Target,Disclosure,Source
1867,2.1,FP12,G4 Sector Disclosure 2010
1869,2.1,Former FP8,G4 Sector Disclosure 2010
1871,2.2,Former FP4,G4 Sector Disclosure 2010
1875,2.2,FP6,G4 Sector Disclosure 2010
1877,2.2,FP7,G4 Sector Disclosure 2010
1879,2.3,MM5,G4 Sector Disclosure 2010
1882,2.3,MM6,G4 Sector Disclosure 2010
1884,2.3,MM7,G4 Sector Disclosure 2010
1886,2.3,MM8,G4 Sector Disclosure 2010
1889,2.3,OG9,G4 Sector Disclosure 2012
1891,2.3,OG10,G4 Sector Disclosure 2012
1892,2.3,OG11,G4 Sector Disclosure 2010
1894,2.3,EU22,G4 Sector Disclosure 2009
1896,2.3,AO8,G4 Sector Disclosure 2011
1898,2.3,CRE7,G4 Sector Disclosure 2011
1900,2.3,OG12,G4 Sector Disclosure 2010
1902,2.3,former EU19,G4 Sector Disclosure 2009
1904,2.3,Former EU20,G4 Sector Disclosure 2009
1905,2.3,MM9,G4 Sector Disclosure 2010
1907,2.3,OG14,G4 Sector Disclosure 2012
1908,2.4,FP2,G4 Sector Disclosure 2010
1910,2.4,OG14,G4 Sector Disclosure 2012
1911,2.5,FP9,G4 Sector Disclosure 2010
1912,3.2,former FP4,G4 Sector Disclosure 2010
1916,3.5,M4,G4 Sector Disclosure 2012
1918,3.5,M5,G4 Sector Disclosure 2012
1921,3.9,AO6,G4 Sector Disclosure 2011
1922,3.9,AO5,G4 Sector Disclosure 2011
1924,3.9,OG7,G4 Sector Disclosure 2012
1925,3.9,MM1,G4 Sector Disclosure 2010
1927,3.9,OG8,G4 Sector Disclosure 2012
1928,3.9,CRE5,G4 Sector Disclosure 2011
1930,3.9,MM8,G4 Sector Disclosure 2010
1933,3.9,OG13,G4 Sector Disclosure 2012
1934,3.9,AO4,G4 Sector Disclosure 2011
1935,3.9,MM3,G4 Sector Disclosure 2010
1936,3.9,OG5,G4 Sector Disclosure 2012
1937,3.9,OG6,G4 Sector Disclosure 2012
1938,4.4,Former EU14,G4 Sector Disclosure 2009
1939,4.6,M7,G4 Sector Disclosure 2012
1940,4.7,EO11,G4 Sector Disclosure 2012
1942,4a,CRE8,G4 Sector Disclosure 2011
1944,6.3,OG7,G4 Sector Disclosure 2012
1945,6.3,MM1,G4 Sector Disclosure 2010
1947,6.3,CRE5,G4 Sector Disclosure 2011
1949,6.3,MM8,G4 Sector Disclosure 2010
1952,6.3,OG13,G4 Sector Disclosure 2012
1953,6.3,AO4,G4 Sector Disclosure 2011
1954,6.3,MM3,G4 Sector Disclosure 2010
1955,6.3,OG5,G4 Sector Disclosure 2012
1956,6.4,CRE2,G4 Sector Disclosure 2011
1957,6.4,CRE8,G4 Sector Disclosure 2011
1959,6.4,OG5,G4 Sector Disclosure 2012
1960,6.6,MM1,G4 Sector Disclosure 2010
1962,6.6,EU13,G4 Sector Disclosure 2009
1963,6.6,CRE5,G4 Sector Disclosure 2011
1965,6.6,MM8,G4 Sector Disclosure 2010
1968,6.6,OG4,G4 Sector Disclosure 2012
1970,6.6,MM2,G4 Sector Disclosure 2010
1972,6.6,MM3,G4 Sector Disclosure 2010
1973,7.1,EU30,G4 Sector Disclosure 2009
1974,7.1,EU29,G4 Sector Disclosure 2009
1975,7.1,Former EU6,G4 Sector Disclosure 2009
